Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,"The best cop movie from Bollywood, bolstered by stellar performances by Aamir, Mukesh Rishi n Naseer Shah.","I first saw this in the summer of 1999 in a theatre.Revisited it recently on a tv channel n felt like writing a review now so that I can remember the sweet summer of 1999.Bollywood to me started with Sarfarosh.Before watching Sarfarosh, me n my pals were wannabe ""cool fellas"" always preferring Hollywood movies.Always preferring Sterling, New Excelsior n Regal theaters in Mumbai for Hollywood movies.But Sarfarosh changed everything.I will never forget the summer of 1999 n i still remember i was wearing a white shirt n camel color cargo pants due to the heat.Me n my fiancé entered Gaiety theatre in Bandra, midway n that too without realising which movie was playing.That particular time a beer bar dance sequence from Sarfarosh was going on.My fiance's reaction was a big wtf n i was kinda embarassed thinking which z grade film did we enter.We decided at least we wait till one hour for the air conditioning but then we were captivated with the movie.Once the end credits rolled, we both looked at each other and started discussing the movie and how we regretted missing the beginning part.During those days vhs rental was cheap (10 rupees) n it used to b available the very same day of its theatrical release.I saw it again in the summer of 1999 on a vhs to catch up the beginning and loved the movie.The editing of the movie is brilliant. Aamir's acting is top notch. Mukesh Rishi n Naseer Shah deserved accolades.Sonali Bendre was a perfect package of cute n sexy in this movie.The movie dealt with so many relevant issues plaguing my beloved country and the way the director handled everything is top notch.Sadly the director John Matthew never got his dues. I don't kno why he didn't do more movies aft this.This movie broke all the norms of a typical Bollywood trash which were produced dime a dozen those days n surprisingly Bollywood trash is still produced these days.(Inserted this bracketed line aft revisiting it again in 2022 but this time with my teenaged kids. The print n the movie is indeed a bit outdated but now my kids r aware why their dad is a big fan of Aamir).",best cop movie bollywood bolstered by stellar performances by aamir mukesh rishi n naseer shah,i first saw this summer 1999 theatre revisited it recently tv channel n felt like writing review now so that i can remember sweet summer 1999 bollywood me started with sarfarosh before watching sarfarosh me n my pals were wannabe cool fellas always preferring hollywood movies always preferring sterling new excelsior n regal theaters mumbai hollywood movies but sarfarosh changed everything i will never forget summer 1999 n i still remember i was wearing white shirt n camel color cargo pants due heat me n my fianc entered gaiety theatre bandra midway n that too without realising which movie was playing that particular time beer bar dance sequence sarfarosh was going my fiances reaction was big wtf n i was kinda embarassed thinking which z grade film did we enter we decided at least we wait till one hour air conditioning but then we were captivated with movie once end credits rolled we both looked at each other started discussing movie how we regretted missing beginning part during those days vhs rental was cheap 10 rupees n it used b available very same day its theatrical release i saw it again summer 1999 vhs catch up beginning loved movie editing movie is brilliant aamirs acting is top notch mukesh rishi n naseer shah deserved accolades sonali bendre was perfect package cute n sexy this movie movie dealt with so many relevant issues plaguing my beloved country way director handled everything is top notch sadly director john matthew never got his dues i dont kno why he didnt do more movies aft this this movie broke all norms typical bollywood trash which were produced dime dozen those days n surprisingly bollywood trash is still produced these days inserted this bracketed line aft revisiting it again 2022 but this time with my teenaged kids print n movie is indeed bit outdated but now my kids r aware why their dad is big fan aamir,0.49910933660933665,0.23341523341523343,Positive,"{'Happy': 0.32, 'Angry': 0.06, 'Surprise': 0.26, 'Sad': 0.21, 'Fear': 0.15}"
10.0,great movie - definitely worth a watch,"This movie leaves the theatre with you and stays in your mind for a long time. A realistic and honest look at the problems our police system is facing is the theme of this movie. Amir Khan, is as usual,incomparable and produces a strong and honest performance. He and his team are a bunch of honest, hard-working cops trying to get Mumbai rid of all the terrorism and criminals. Amir Khan plays a tough cop with a rough past (his brother was killed by gangsters) and the event has led him to try and sweep crime away from Mumbai. All the actors in the movie have done their job very well, especially the actors in Amir Khan's police team. Sonali Bendre has done as much justice as she could to her role, which is kind of minimal and unfair. Yet, the movie is a great one. Naseeruddin shah is amazing as usual, and goes through with his character with ease and perfection.Worth a watch, the movie will surely not fail to impress.",great movie definitely worth watch,this movie leaves theatre with you stays your mind long time realistic honest look at problems our police system is facing is theme this movie amir khan is as usual incomparable produces strong honest performance he his team are bunch honest hard working cops trying get mumbai rid all terrorism criminals amir khan plays tough cop with rough past his brother was killed by gangsters event has led him try sweep crime away mumbai all actors movie have done their job very well especially actors amir khans police team sonali bendre has done as much justice as she could her role which is kind minimal unfair yet movie is great one naseeruddin shah is amazing as usual goes through with his character with ease perfection worth watch movie will surely not fail impress,0.5458333333333334,0.1719017094017094,Positive,"{'Happy': 0.16, 'Angry': 0.11, 'Surprise': 0.21, 'Sad': 0.13, 'Fear': 0.39}"
9.0,flawless...,"this is a real gem of a movie...it's right there among the top 5 of my favorite Hindi movies. the movie hooks you right away and the plot never slackens throughout...coupled with realistic treatment, it makes the movie an instant favorite. also the subject is very different - the proxy war waged by Pakistan's ISI. refreshingly and reassuringly, there are no corrupt cops in the movie! Aamir Khan as ACP Rathore is superb. he brings alive a cop's passion and determination to cleanse the system of criminals. the action sequences are played out very realistically. Mukesh Rishi as ACP's right hand man is just brilliant! This actor usually plays only ""black"" characters - this surely added to the impact of his performance (for me, at least). There are some truly heart-warming scenes of Rathore with his family. Sonali Bendre as Rathore's love interest provided some (much-needed) light moments. And, finally, Naseeruddin Shah as ghazal singer-cum-terrorist played his part with understated villainy. i love such villains - they seem so real! the climax is truly innovative - it invariably brings a smile to your face. It's difficult to spot a flaw in the movie. and considering that it's the director's debut film, you have to doff your hat to him.",flawless,this is real gem movie its right there among top 5 my favorite hindi movies movie hooks you right away plot never slackens throughout coupled with realistic treatment it makes movie instant favorite also subject is very different proxy war waged by pakistans isi refreshingly reassuringly there are no corrupt cops movie aamir khan as acp rathore is superb he brings alive cops passion determination cleanse system criminals action sequences are played out very realistically mukesh rishi as acps right hand man is just brilliant this actor usually plays only black characters this surely added impact his performance me at least there are some truly heart warming scenes rathore with his family sonali bendre as rathores love interest provided some much needed light moments finally naseeruddin shah as ghazal singer cum terrorist played his part with understated villainy i love such villains they seem so real climax is truly innovative it invariably brings smile your face its difficult spot flaw movie considering that its directors debut film you have doff your hat him,0.6262558356676005,0.24971988795518207,Positive,"{'Happy': 0.2, 'Angry': 0.07, 'Surprise': 0.07, 'Sad': 0.24, 'Fear': 0.41}"
10.0,Best Directorial Debut,"John Matthan directs a fantastic film in his directorial debut. With so many characters popping in one after the other it would have been very difficult to maintain the flow of the film which John Matthan has done very successfuly. Aamir Khan as usual has given an excellent performance as A.C.P Rathore who is set to end the flow of Arms and ammunition from Pakistan to India. Aamir, the dedicated actor that he is, had studied all about the police force, the IPS people, talked with many police officers and stayed with some of them to study the role of ACP rathore.Nasserudin Shah has only 6 to 7 scenes but he dominates the movie. He has the role which was similarly played by Jack Nicholson in 'A Few Good Men'. Sonali Bendre is wasted in what turns out to be a fine performance by her. The surprise factor of the film is the acting of Mukesh Rishi which has got lots of critical acclaim from the critics and the general audience. Do not be surprised if he wins all the awards for ""The Best Supporting Actor"". Although the film is very predictible,the climax is the best part of the scene. This is the one of the best climax ever used in an hindi movie. Its hard to believe that this is John's directorial/writing debut.",best directorial debut,john matthan directs fantastic film his directorial debut with so many characters popping one after other it would have been very difficult maintain flow film which john matthan has done very successfuly aamir khan as usual has given excellent performance as c p rathore who is set end flow arms ammunition pakistan india aamir dedicated actor that he is had studied all about police force ips people talked with many police officers stayed with some them study role acp rathore nasserudin shah has only 6 7 scenes but he dominates movie he has role which was similarly played by jack nicholson few good men sonali bendre is wasted what turns out be fine performance by her surprise factor film is acting mukesh rishi which has got lots critical acclaim critics general audience do not be surprised if he wins all awards best supporting actor although film is very predictible climax is best part scene this is one best climax ever used hindi movie its hard believe that this is johns directorial writing debut,0.4660256410256411,0.2653846153846154,Positive,"{'Happy': 0.15, 'Angry': 0.08, 'Surprise': 0.35, 'Sad': 0.12, 'Fear': 0.31}"
9.0,"A good movie, very good action scenes","The back of the DVD case claims that Sarfarosh is the first Hindi movie to take a look at some of the real reasons behind terrorism and insurgency in India. This seems like a fairly radical claim that I doubt they could really defend even though my knowledge of Hindi cinema is still far from complete. DIL SE seemed like a pretty honest examination of the subject to me, and that was several years earlier. I don't want to hold the claims on the DVD case against the movie though, as SARFAROSH is certainly an interesting take on the subject.Ajay Singh's brother is killed and his father brain damaged by terrorists when Ajay is a small boy, because his father was going to stand up against them in court or something. Ajay takes this to heart (as you would), and as a young adult he devotes himself to becoming a police inspector and fighting against crime, and terrorists in particular. The movie is essentially about one case, where Ajay has to get to the roots of an operation smuggling guns into the country. The operation is backed by a Pakistani general, with the rationale that arming criminals in India is a cheap but effective way of waging war. The movie does push a fairly unbalanced ""Pakistan aggressors, India = victims"" message, though it is very careful/keen not to equate this with Muslim vs Hindu and turn it into a religious issue. The movie is fairly serious throughout - although there is a romantic interest (the lovely Sonali Bendre), it's not overplayed and does serve a useful function by building the character of Ajay and putting the case in the context of his life. For the most part though, the movie is focussed on the investigation and the encounters between the police and the criminals as they trace the criminal network closer to its roots. It's quite an action packed movie, and features some of the best action scenes I've seen in an Indian movie. No bullet ballet or kung fu, but quite realistic fights and shootouts that are never-the-less very well choreographed and filmed. The movie bears an 18 rating, because the action does get quite violent. A lot of people die in the course of the movie, and a few of them in quite gruesome ways. One thing I've noticed in quite a lot of Asian movies is that police violence is treated quite sympathetically - even as quite noble. The cops in Sarfarosh don't mess around - if threatening, beating or framing a criminal is the best way to get a result then they don't hesitate to do so. If a criminal happens to get killed in the course of an operation then they don't seem terribly upset either, unless it was somebody they wanted to interrogate .Ajay Singh is played by Aamir Khan, an actor I haven't come across before. He's not a pretty boy by any means, but he does a very good job with the character. It's a good character too - well developed and believable, honorable without being sanctimonius. The rest of the cast all do a good job too, although Sonali Bendre doesn't have a lot to do except look pretty and dance around in the musical numbers.The script for the movie is very tight, with both the criminals and the cops operations and motivations seeming quite convincing. The movie does veer a little towards preaching in places, especially towards the end, but this is forgivable. The direction is very confident and focussed, and sound and cinematography throughout are good throughout.All round, a good movie worth seeking out.",good movie very good action scenes,back dvd case claims that sarfarosh is first hindi movie take look at some real reasons behind terrorism insurgency india this seems like fairly radical claim that i doubt they could really defend even though my knowledge hindi cinema is still far complete dil se seemed like pretty honest examination subject me that was several years earlier i dont want hold claims dvd case against movie though as sarfarosh is certainly interesting take subject ajay singhs brother is killed his father brain damaged by terrorists when ajay is small boy because his father was going stand up against them court or something ajay takes this heart as you would as young adult he devotes himself becoming police inspector fighting against crime terrorists particular movie is essentially about one case where ajay has get roots operation smuggling guns into country operation is backed by pakistani general with rationale that arming criminals india is cheap but effective way waging war movie does push fairly unbalanced pakistan aggressors india victims message though it is very careful keen not equate this with muslim vs hindu turn it into religious issue movie is fairly serious throughout although there is romantic interest lovely sonali bendre its not overplayed does serve useful function by building character ajay putting case context his life most part though movie is focussed investigation encounters between police criminals as they trace criminal network closer its roots its quite action packed movie features some best action scenes ive seen indian movie no bullet ballet or kung fu but quite realistic fights shootouts that are never less very well choreographed filmed movie bears 18 rating because action does get quite violent lot people die course movie few them quite gruesome ways one thing ive noticed quite lot asian movies is that police violence is treated quite sympathetically even as quite noble cops sarfarosh dont mess around if threatening beating or framing criminal is best way get result then they dont hesitate do so if criminal happens get killed course operation then they dont seem terribly upset either unless it was somebody they wanted interrogate ajay singh is played by aamir khan actor i havent come across before hes not pretty boy by any means but he does very good job with character its good character too well developed believable honorable without being sanctimonius rest cast all do good job too although sonali bendre doesnt have lot do except look pretty dance around musical numbers script movie is very tight with both criminals cops operations motivations seeming quite convincing movie does veer little towards preaching places especially towards end but this is forgivable direction is very confident focussed sound cinematography throughout are good throughout all round good movie worth seeking out,0.49597847358121355,0.15438845401174167,Positive,"{'Happy': 0.15, 'Angry': 0.01, 'Surprise': 0.17, 'Sad': 0.3, 'Fear': 0.38}"
10.0,The best part ...,"One of the best things about this movie is that it shows the hero taking the right path to revenge. He becomes an IPS Officer and concentrates on eradicating crime. This is in contrast with the regular Bollywood hero, who takes the shorter and easier path justified with tit-for-tat logic to kill a particular villain in the story. Thus, this movie rises above the parochial view of solving problems through one particular revenge. Otherwise also, of late Bollywood heroes are never shown as studious ones because it is only the poor students that most people like to relate to and studious people or anyone can laugh on them as well.",best part,one best things about this movie is that it shows hero taking right path revenge he becomes ips officer concentrates eradicating crime this is contrast with regular bollywood hero who takes shorter easier path justified with tit tat logic kill particular villain story thus this movie rises above parochial view solving problems through one particular revenge otherwise also late bollywood heroes are never shown as studious ones because it is only poor students that most people like relate studious people or anyone can laugh them as well,0.43686954071569456,0.2399267399267399,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.46, 'Sad': 0.15, 'Fear': 0.38}"
9.0,Good Story..,"The movie haunts you long after watching it also. John Mathew Matthan did a fair job for a débutant. The story of a sincere police officer in Mumbai crime branch is just a front end for many other stories like love, friendship, patriotism, religion and bigotry etc.Aamir Khan made excellent cop in Mumbai police. But, the character of Inspector Salim is the most impressive in the movie.A must watch for all those movie buffs as this has been a very genuine effort to show what is happening across the Indo-Pak border. What made this film a different experience is the genuinity in the script.A must watch for every one out there. This will not disappoint you in any way. 9/10 from me.",good story,movie haunts you long after watching it also john mathew matthan did fair job d butant story sincere police officer mumbai crime branch is just front end many other stories like love friendship patriotism religion bigotry etc aamir khan made excellent cop mumbai police but character inspector salim is most impressive movie must watch all those movie buffs as this has been very genuine effort show what is happening across indo pak border what made this film different experience is genuinity script must watch every one out there this will not disappoint you any way 9 10 me,0.6354166666666666,0.47874999999999995,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.19, 'Sad': 0.31, 'Fear': 0.25}"
10.0,"Best movie, Best Performance","Aamir Khan has performed at his best. Loved the movie.Ajay Singh Rathod (Aamir Khan) is a honest officer who hates the criminals and terrorist. He loves his country. He gets some information about criminals who are involve in supply of arms in order to create terrorism.Ajay solves this mystery and reaches the root of this gang. But at the end he comes to know that this terrorism was under-supervision of his very good friend and singer ""Gulfam Hassan (Naseeruddin Shah)"" The story, Music, Dialogues, everything is just perfect.A MUST SEE",best movie best performance,aamir khan has performed at his best loved movie ajay singh rathod aamir khan is honest officer who hates criminals terrorist he loves his country he gets some information about criminals who are involve supply arms order create terrorism ajay solves this mystery reaches root this gang but at end he comes know that this terrorism was under supervision his very good friend singer gulfam hassan naseeruddin shah story music dialogues everything is just perfect must see,0.6257142857142858,0.8871428571428571,Positive,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.3, 'Fear': 0.3}"
10.0,"Crisp Script, Cracking Movie!","Who said Indians cannot make action movies. ""Sarfarosh"" can be compared to any of the leading hollywood actioners. Aamir Khan is too tough to look sweet in this movie. His commitment to perfection can be seen in the way he carried the movie on his shoulders. The director John too did a great job. Though I feel Naseerudin Shah's role could have got more meat as his potential wasn't tapped complete. Music too is very good. Sonali should start looking serious than trying to look cute, as she is no longer a new comer. A solid movie with sharp dialogues and a crisp script.",crisp script cracking movie,who said indians cannot make action movies sarfarosh can be compared any leading hollywood actioners aamir khan is too tough look sweet this movie his commitment perfection can be seen way he carried movie his shoulders director john too did great job though i feel naseerudin shahs role could have got more meat as his potential wasnt tapped complete music too is very good sonali should start looking serious than trying look cute as she is no longer new comer solid movie with sharp dialogues crisp script,0.5878585858585859,0.20327609427609428,Positive,"{'Happy': 0.25, 'Angry': 0.17, 'Surprise': 0.17, 'Sad': 0.17, 'Fear': 0.25}"
9.0,Universally liked movie,"Sarfarosh is a movie very few people can dislike.Movie is neither intense one nor over exerting.It is a movie tightly followed to a very good script.Story of the movie is fast paced,engaging like Sidney Sheldon's novels, has depth and all characters looks very natural and evolved.Although movie is over 3 hrs long but time just flies by.Topics like terrorism,crime , patriotism are dealt with a great aplomb.How arms are smuggled through border and reaches naxalites or bandits,how the police functions,movie makers had clear idea of.It is one good performance of Mukesh rishi as saleem,Aamir khan as ACP and even other small characters like Aamir's department's colleague,family members, everybody has done excellent job.None of the scenes in film looks forcefully inserted and movie progresses to a very concluding climax with every scene.A great movie from debutant director John Mathew Mathhan.",universally liked movie,sarfarosh is movie very few people can dislike movie is neither intense one nor over exerting it is movie tightly followed very good script story movie is fast paced engaging like sidney sheldons novels has depth all characters looks very natural evolved although movie is over 3 hrs long but time just flies by topics like terrorism crime patriotism are dealt with great aplomb how arms are smuggled through border reaches naxalites or bandits how police functions movie makers had clear idea it is one good performance mukesh rishi as saleem aamir khan as acp even other small characters like aamirs departments colleague family members everybody has done excellent job none scenes film looks forcefully inserted movie progresses very concluding climax with every scene great movie debutant director john mathew mathhan,0.5749439775910364,0.3044957983193277,Positive,"{'Happy': 0.21, 'Angry': 0.0, 'Surprise': 0.12, 'Sad': 0.17, 'Fear': 0.5}"
9.0,Indian cinema needs more of these!!,"When I watched this movie, I was expecting yet another action flick with a decent storyline. I was in for a surprise. A great movie with some realistic scenes and an excellent story, this is probably the best action movie in a long time in India.In a country that has been target of terror, it is not uncommon that weapons like AK-47 are smuggled deep into the heart of it. Veeran, a tribal leader wreaks havoc by looting and killing civilians. Mumbai Crime Branch takes the case up and discovers that there are links at every level leading to the enemy government. The tribal leader, the local goon with illegal businesses (Bala Thakur), the weapons' supplier (Sultan), the middleman (Haji), the smuggler on the border (Mirchi Seth) and a Pakistani military official. This chain of evil poses a threat to the nation. The film also touches sensitive subjects like the loyalty of the common Indian Muslim towards the state, the mentality of the people who have suffered the partition of India, friendship and loyalty etc.Aamir Khan does a splendid job as Ajay Singh Rathore, the patriotic cop previously a victim of terrorism who vows to fight them. All the aforementioned actors did a good job, but the surprise package in the movie is Naseeruddin Shah. He is probably the best actor in the country at the moment and one can say, looking at this role why. He is brilliant as Gulfam Hassan, the singer born in India and brought up in Pakistan.A great movie with a good story and excellent performances.9/10",indian cinema needs more these,when i watched this movie i was expecting yet another action flick with decent storyline i was surprise great movie with some realistic scenes excellent story this is probably best action movie long time india country that has been target terror it is not uncommon that weapons like ak 47 are smuggled deep into heart it veeran tribal leader wreaks havoc by looting killing civilians mumbai crime branch takes case up discovers that there are links at every level leading enemy government tribal leader local goon with illegal businesses bala thakur weapons supplier sultan middleman haji smuggler border mirchi seth pakistani military official this chain evil poses threat nation film also touches sensitive subjects like loyalty common indian muslim towards state mentality people who have suffered partition india friendship loyalty etc aamir khan does splendid job as ajay singh rathore patriotic cop previously victim terrorism who vows fight them all aforementioned actors did good job but surprise package movie is naseeruddin shah he is probably best actor country at moment one can say looking at this role why he is brilliant as gulfam hassan singer born india brought up pakistan great movie with good story excellent performances 9 10,0.5326923076923078,0.28621794871794876,Positive,"{'Happy': 0.24, 'Angry': 0.0, 'Surprise': 0.22, 'Sad': 0.18, 'Fear': 0.36}"
6.0,Enjoyable but a Bit Long and Somewhat Dated,"This film begins in a remote area of India where some gun runners from Pakistan have arraigned for a shipment of AK-47's to be delivered to some local Muslim tribesmen. Not long afterward these tribesmen proceed to stop a bus loaded with Hindu passengers and subsequently kill everyone on board and then quickly escape back into the jungle after taking all of the money and jewelry they can find from the bodies of their victims. Quite naturally, this act of lawlessness causes a great stir among the citizenry and an inspector by the name of ""Ajay Singh Rathod"" (Aamir Khan) is chosen to lead the investigation over that of the normal investigator named ""Inspector Salim"" (Mukesh Roshi) who happens to be Muslim. Needless to say, Salim doesn't take this very well even though Ajay tries to explain that he had no input into this decision which was made due to political circumstances. Yet even though they both share a revulsion to the violence that has just occurred, what neither of them realize is that the arming of these tribesmen was a carefully planned event from myopic partisans within Pakistan wanting a religious civil war in India for their own selfish interests. Now rather than reveal any more I will just say that this was an interesting movie which might require the viewer to have a certain degree of knowledge concerning the historical significance of the Partition of India in 1947 and the ramifications that are still ongoing today. That aside, I liked the general plot of the film although I thought that some of the romantic elements didn't quite blend in with the more intense dramatic scenes as well as they could have. Likewise, some of the action scenes could have used a bit more polish as well. In any case, this was an enjoyable film for the most part and I have rated it accordingly. Slightly above average.",enjoyable but bit long somewhat dated,this film begins remote area india where some gun runners pakistan have arraigned shipment ak 47s be delivered some local muslim tribesmen not long afterward these tribesmen proceed stop bus loaded with hindu passengers subsequently kill everyone board then quickly escape back into jungle after taking all money jewelry they can find bodies their victims quite naturally this act lawlessness causes great stir among citizenry inspector by name ajay singh rathod aamir khan is chosen lead investigation over that normal investigator named inspector salim mukesh roshi who happens be muslim needless say salim doesnt take this very well even though ajay tries explain that he had no input into this decision which was made due political circumstances yet even though they both share revulsion violence that has just occurred what neither them realize is that arming these tribesmen was carefully planned event myopic partisans within pakistan wanting religious civil war india their own selfish interests now rather than reveal any more i will just say that this was interesting movie which might require viewer have certain degree knowledge concerning historical significance partition india 1947 ramifications that are still ongoing today that aside i liked general plot film although i thought that some romantic elements didnt quite blend with more intense dramatic scenes as well as they could have likewise some action scenes could have used bit more polish as well any case this was enjoyable film most part i have rated it accordingly slightly above average,0.47351190476190474,0.13373015873015873,Positive,"{'Happy': 0.16, 'Angry': 0.05, 'Surprise': 0.24, 'Sad': 0.22, 'Fear': 0.32}"
10.0,Aamir steals the show. Outstanding,I recently became avid fan of this actor. Will take time to review many of his titles. This movie act was compelled to watch again and again. He deserves a 10 star rating. Hats off brother. Good luck and make something outstanding like this again.,aamir steals show outstanding,i recently became avid fan this actor will take time review many his titles this movie act was compelled watch again again he deserves 10 star rating hats off brother good luck make something outstanding like this again,0.6833333333333332,0.4083333333333334,Positive,"{'Happy': 0.42, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.08}"
10.0,One of the best and most inspiring Indian movie,"When i viewed this movie for the first time i thought OK lets watch another action movie with some common story.But since then i have watched this movie nearly 20 times and still i like it even more. The best thing about this movie is that it does not glorify the image of terrorists and cops.It shows how a common man can give his contribution to the society.Every thing from the direction to editing and acting and music,both songs and background is top class.It is the first movie directed by John Mathew Matthan but it looks like a very experienced direction.Performances by Aamir Khan,Naseeruddin Shah,Sonali Bendre and Mukesh Rishi are of top quality.The pace of the movie is very fast which makes it more adorable.The scene between Aamir Khan and Mukesh Rishi are the best part of the movie.A must watch for everyone irrespective of the age bars.",one best most inspiring indian movie,when i viewed this movie first time i thought ok lets watch another action movie with some common story but since then i have watched this movie nearly 20 times still i like it even more best thing about this movie is that it does not glorify image terrorists cops it shows how common man can give his contribution society every thing direction editing acting music both songs background is top class it is first movie directed by john mathew matthan but it looks like very experienced direction performances by aamir khan naseeruddin shah sonali bendre mukesh rishi are top quality pace movie is very fast which makes it more adorable scene between aamir khan mukesh rishi are best part movie must watch everyone irrespective age bars,0.4923333333333333,0.418,Positive,"{'Happy': 0.07, 'Angry': 0.04, 'Surprise': 0.56, 'Sad': 0.07, 'Fear': 0.26}"
9.0,Awesome and one of the best cop films,"This is one of the best cop films except the Pak bashing which is one flaw yet the way the film is handled brilliantlyThe cops aren't shown larger then life here and are shown realistic Also even a Muslim is shown as a good person and that z niceThe film follows a no nonsense approach and works well throughout Though the pace slows and drags at times when the focus goes on the villains but luckily they are several good scenes and brilliant handling that overpowers itThe climax is brilliant too, the face off between Naseer and Aamir is brilliantJohn Matthew Mathan makes a commendable debut, his best work Sad he couldn't follow it up and made a dud like SHIKHAR Music is good and suits the film Cinematography is aptAamir played a cop in BAAZI with a filmy style but here he is more restrained, mature and natural He acts like he is for real and doesn't try to hog the limelight but let's us focus on the dialogs between the co-stars Mukesh Rishi for once gets an opportunity to act and be a good guy and he does a fantastic job as Salim He is superb, hope he gets such roles more Sonali provides comic relief and is good Naseeruddin Shah is given a clichéd role and he does well Amongst others Pradeep Singh Rawat(villain of Ghajini), Govind Namdeo and the cops are all perfect",awesome one best cop films,this is one best cop films except pak bashing which is one flaw yet way film is handled brilliantlythe cops arent shown larger then life here are shown realistic also even muslim is shown as good person that z nicethe film follows no nonsense approach works well throughout though pace slows drags at times when focus goes villains but luckily they are several good scenes brilliant handling that overpowers itthe climax is brilliant too face off between naseer aamir is brilliantjohn matthew mathan makes commendable debut his best work sad he couldnt follow it up made dud like shikhar music is good suits film cinematography is aptaamir played cop baazi with filmy style but here he is more restrained mature natural he acts like he is real doesnt try hog limelight but lets us focus dialogs between co stars mukesh rishi once gets opportunity act be good guy he does fantastic job as salim he is superb hope he gets such roles more sonali provides comic relief is good naseeruddin shah is given clich d role he does well amongst others pradeep singh rawat villain ghajini govind namdeo cops are all perfect,0.5871794871794872,0.5134615384615384,Positive,"{'Happy': 0.34, 'Angry': 0.0, 'Surprise': 0.14, 'Sad': 0.23, 'Fear': 0.29}"
9.0,Well executed,"Well executed.. You can say without any flaws.. Good acting by Aamir Khan, Sonali Bendre (she looks very beautiful), Nasiruddin Shah, Mukesh Rishi and all actors...Even the songs are very good...",well executed,well executed you can say without any flaws good acting by aamir khan sonali bendre she looks very beautiful nasiruddin shah mukesh rishi all actors even songs are very good,0.5950000000000001,0.6525,Positive,"{'Happy': 0.75, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.0, 'Fear': 0.0}"
